WKT,name,description
"POLYGON ((-73.3291239 41.1549305, -73.3291527 41.1549704, -73.3291812 41.1549576, -73.3291531 41.1549187, -73.3291239 41.1549305))",Spot 188,
"POLYGON ((-73.3290957 41.1549427, -73.3291252 41.1549836, -73.3291527 41.1549704, -73.3291239 41.1549305, -73.3290957 41.1549427))",Spot 187,
"POLYGON ((-73.3290672 41.1549545, -73.3290974 41.1549954, -73.3291252 41.1549836, -73.3290957 41.1549427, -73.3290672 41.1549545))",Spot 186,
"POLYGON ((-73.3290685 41.155008, -73.3290974 41.1549954, -73.3290672 41.1549545, -73.3290377 41.1549656, -73.3290685 41.155008))",Spot 185,
"POLYGON ((-73.3290364 41.1550181, -73.3290685 41.155008, -73.3290377 41.1549656, -73.3290095 41.1549767, -73.3290364 41.1550181))",Spot 184,
"POLYGON ((-73.3290095 41.1549767, -73.3289812 41.1549894, -73.3290101 41.1550297, -73.3290364 41.1550181, -73.3290095 41.1549767))",Spot 183,
"POLYGON ((-73.3289529 41.1550015, -73.3289817 41.1550434, -73.3290101 41.1550297, -73.3289812 41.1549894, -73.3289529 41.1550015))",Spot 182,
"POLYGON ((-73.3289234 41.1550129, -73.3289522 41.1550543, -73.3289817 41.1550434, -73.3289529 41.1550015, -73.3289234 41.1550129))",Spot 181,
"POLYGON ((-73.3288932 41.155026, -73.328924 41.1550659, -73.3289522 41.1550543, -73.3289234 41.1550129, -73.3288932 41.155026))",Spot 180,
"POLYGON ((-73.3288657 41.1550371, -73.3288932 41.155076, -73.328924 41.1550659, -73.3288932 41.155026, -73.3288657 41.1550371))",Spot 179,
"POLYGON ((-73.3288375 41.1550493, -73.3288664 41.1550876, -73.3288932 41.155076, -73.3288657 41.1550371, -73.3288375 41.1550493))",Spot 178,
"POLYGON ((-73.3288106 41.1550604, -73.3288374 41.1550997, -73.3288664 41.1550876, -73.3288375 41.1550493, -73.3288106 41.1550604))",Spot 177,
"POLYGON ((-73.3288106 41.1551144, -73.3288374 41.1550997, -73.3288106 41.1550604, -73.3287804 41.155073, -73.3288106 41.1551144))",Spot 176,
"POLYGON ((-73.3287817 41.155126, -73.3288106 41.1551144, -73.3287804 41.155073, -73.3287522 41.1550851, -73.3287817 41.155126))",Spot 175,
"POLYGON ((-73.3287233 41.1550953, -73.3287508 41.1551357, -73.3287817 41.155126, -73.3287522 41.1550851, -73.3287233 41.1550953))",Spot 174,
"POLYGON ((-73.3287212 41.1551464, -73.3287508 41.1551357, -73.3287233 41.1550953, -73.3286938 41.1551069, -73.3287212 41.1551464))",Spot 173,
"POLYGON ((-73.3286924 41.1551554, -73.3287212 41.1551464, -73.3286938 41.1551069, -73.3286649 41.1551181, -73.3286924 41.1551554))",Spot 172,
"POLYGON ((-73.3286375 41.155132, -73.328663 41.1551678, -73.3286931 41.1551554, -73.3286656 41.1551181, -73.3286375 41.155132))",Spot 171,
"POLYGON ((-73.3286085 41.1551431, -73.3286347 41.1551769, -73.328663 41.1551678, -73.3286375 41.155132, -73.3286085 41.1551431))",Spot 170,
"POLYGON ((-73.3285766 41.1551558, -73.3286014 41.1551896, -73.3286347 41.1551769, -73.3286085 41.1551431, -73.3285766 41.1551558))",Spot 169,
"POLYGON ((-73.3285441 41.1551686, -73.3285683 41.155202, -73.3286014 41.1551896, -73.3285766 41.1551558, -73.3285441 41.1551686))",Spot 168,
"POLYGON ((-73.3285441 41.1551686, -73.3285017 41.1551853, -73.3285292 41.1552181, -73.3285683 41.155202, -73.3285441 41.1551686))",Spot 167,
